edad
5
22
17
72
9
32
58
55
2
25
35
42
19
69
12
32
77
71
63
29
55
2
7
4
16
47
29
12
32
40
9
93
28
50
10
86
39
85
20
71
7
77
65
40
0
1
18
22
34
25
2
16
55
27
89
56
24
10
61
45
29
15
31
71
19
92
53
43
59
88
24
59
72
18
84
52
85
49
77
56
47
54
19
81
25
30
52
49
34
37
30
48
71
37
5
11
3
77
27
32
56
13
28
17
26
62
44
53
60
60
0
46
59
51
48
11
58
45
49
4
15
7
64
51
0
64
81
26
51
8
33
38
44
28
39
76
48
15
63
22
2
24
16
64
81
14
32
33
36
72
62
15
10
28
72
64
33
46
25
66
28
57
10
33
73
0
64
62
9
84
84
14
47
84
72
89
58
58
59
92
15
47
45
11
86
8
78
39
82
48
12
21
44
38
55
21
11
14
71
19
2
64
29
77
82
63
79
15
32
2
45
71
83
7
83
41
38
25
1
61
2
68
67
48
52
70
8
7
50
3
76
0
10
58
64
59
25
22
61
49
3
21
100
10
83
74
43
77
2
42
4
35
51
46
10
38
4
28
25
10
32
28
33
53
11
51
62
1
34
8
26
37
78
32
53
84
78
47
17
52
34
9
85
45
75
15
18
25
91
7
58
60
22
38
61
84
54
44
71
56
48
78
9
46
45
15
28
18
5
69
21
72
20
9
43
20
53
27
8
30
60
23
39
14
6
49
80
58
35
52
46
41
31
64
52
92
30
19
68
53
13
42
45
34
25
0
28
24
65
34
41
22
62
83
19
58
37
1
56
55
12
47
40
67
63
48
12
0
32
76
35
50
67
76
15
11
33
39
21
68
14
47
54
59
30
87
22
11
30
9
28
77
84
55
54
45
49
7
75
44
51
59
52
11
74
36
8
29
27
37
47
46
50
71
17
52
74
35
0
45
12
28
21
39
46
61
42
27
0
27
5
79
31
27
63
15
8
46
28
6
40
32
20
80
78
37
43
48
73
88
9
22
79
84
47
62
50
50
19
4
24
21
68
28
26
45
71
14
64
9
33
75
0
51
54
49
73
28
37
2
6
37
21
47
62
67
77
32
53
84
39
47
71
37
96
71
58
76
75
36
46
38
43
78
18
24
53
15
14
37
59
60
41
56
72
2
31
78
7
21
35
25
27
66
29
10
12
17
69
59
19
8
26
59
41
69
31
23
22
7
30
57
83
6
21
78
48
72
95
21
68
74
69
35
5
53
90
66
45
19
6
88
12
51
68
0
25
18
5
12
84
85
41
27
33
79
43
0
38
49
67
44
77
67
42
42
57
73
32
52
20
49
28
21
78
2
80
73
58
49
26
37
74
87
48
7
72
11
84
28
84
97
16
80
71
46
83
39
52
14
60
32
42
19
35
1
28
84
44
62
74
55
46
76
84
53
25
72
33
58
28
59
60
68
11
40
29
54
12
